Ticker,Company Name,Year,Age(C1),DER(C2),Size(C3),Affiliation(C4),PIAC(C5),ROA(FP1),TOBIN'S Q(FP2),ROE(FP3),Asset Utilization(SCA1),VACA(IC1),VAHU(IC2),STVA(IC3),VAIC(IC4)
ELSA,ELNUSA TBK. PT,2013,44,0.91,29.11,1,1.00,0.05,1.03,0.10,0.94,1.936,6.810,0.853,9.599
ELSA,ELNUSA TBK. PT,2014,45,0.67,29.08,1,1.00,0.10,1.58,0.17,0.99,1.752,5.748,0.826,8.326
ELSA,ELNUSA TBK. PT,2015,46,0.67,29.11,1,1.00,0.09,0.81,0.14,0.86,1.560,5.054,0.802,7.416
ELSA,ELNUSA TBK. PT,2016,47,0.46,29.06,1,1.00,0.07,1.04,0.11,0.86,1.348,5.613,0.822,7.783
ELSA,ELNUSA TBK. PT,2017,48,0.59,29.21,1,0.67,0.05,0.93,0.08,1.03,1.823,6.153,0.837,8.813
ELSA,ELNUSA TBK. PT,2018,49,0.71,29.36,1,0.67,0.05,0.86,0.08,1.17,2.203,6.618,0.849,9.670
ELSA,ELNUSA TBK. PT,2019,50,0.90,29.55,1,0.67,0.05,0.80,0.10,1.23,2.587,6.620,0.849,10.056
ELSA,ELNUSA TBK. PT,2020,51,1.02,29.65,1,0.67,0.03,0.85,0.07,1.02,2.275,6.503,0.846,9.624
ELSA,ELNUSA TBK. PT,2021,52,0.92,29.61,1,0.67,0.02,0.76,0.03,1.13,2.377,6.953,0.856,10.186
ELSA,ELNUSA TBK. PT,2022,53,1.15,29.81,1,0.67,0.04,0.79,0.09,1.39,3.258,7.710,0.870,11.838
ENRG,ENERGI MEGA PERSADA TBK. PT,2012,11,2.00,30.60,0,0.67,0.01,0.83,0.02,0.32,0.563,53.585,0.981,55.130
ENRG,ENERGI MEGA PERSADA TBK. PT,2013,12,1.61,30.82,0,0.67,0.07,0.73,0.19,0.35,0.349,29.597,0.966,30.912
ENRG,ENERGI MEGA PERSADA TBK. PT,2014,13,2.09,30.76,0,0.67,-0.03,0.86,-0.09,0.42,1.102,100.620,0.990,102.712
ENRG,ENERGI MEGA PERSADA TBK. PT,2015,14,3.12,30.64,0,0.67,-0.14,0.87,-0.59,0.41,1.794,98.930,0.990,101.714
ENRG,ENERGI MEGA PERSADA TBK. PT,2016,15,-15.82,30.28,0,0.67,-0.33,1.24,4.83,0.49,-8.227,47.202,0.979,39.953
ENRG,ENERGI MEGA PERSADA TBK. PT,2017,16,13.15,30.10,0,0.67,0.03,0.98,0.40,0.36,2.132,23.918,0.958,27.009
ENRG,ENERGI MEGA PERSADA TBK. PT,2018,17,7.53,30.01,0,0.67,-0.02,0.93,-0.15,0.37,2.207,33.839,0.970,37.017
ENRG,ENERGI MEGA PERSADA TBK. PT,2019,18,5.40,29.88,0,0.67,0.04,0.98,0.23,0.49,1.299,14.860,0.933,17.092
ENRG,ENERGI MEGA PERSADA TBK. PT,2020,19,2.98,30.11,0,0.67,0.07,1.02,0.28,0.49,0.764,18.558,0.946,20.268
ENRG,ENERGI MEGA PERSADA TBK. PT,2021,20,1.37,30.35,0,0.67,0.04,0.75,0.09,0.38,0.539,28.864,0.965,30.369
ENRG,ENERGI MEGA PERSADA TBK. PT,2022,21,1.32,30.56,0,0.67,0.06,0.96,0.13,0.38,0.531,27.926,0.964,29.421
ETWA,ETERINDO WAHANATAMA TBK,2012,19,1.20,27.59,0,0.33,0.04,0.86,0.09,1.04,2.121,47.655,0.979,50.755
ETWA,ETERINDO WAHANATAMA TBK,2013,20,1.90,27.89,0,0.33,0.01,0.93,0.02,0.93,2.405,43.420,0.977,46.802
ETWA,ETERINDO WAHANATAMA TBK,2014,21,3.51,27.92,0,0.33,-0.11,0.97,-0.48,0.75,3.703,23.049,0.957,27.708
ETWA,ETERINDO WAHANATAMA TBK,2015,22,16.59,27.92,0,0.33,-0.17,1.00,-2.96,0.30,4.807,10.873,0.908,16.588
ETWA,ETERINDO WAHANATAMA TBK,2016,23,162.19,27.78,0,0.33,-0.06,1.06,-9.64,0.21,3.150,25.792,0.961,58.249
ETWA,ETERINDO WAHANATAMA TBK,2017,24,-10.19,27.74,0,0.33,-0.11,1.16,1.05,0.05,-0.153,2.705,0.630,3.181
ETWA,ETERINDO WAHANATAMA TBK,2018,25,-5.25,27.72,0,0.33,-0.13,1.31,0.54,0.02,0.064,-2.037,1.491,-0.482
ETWA,ETERINDO WAHANATAMA TBK,2019,26,-4.25,27.75,0,0.33,-0.08,1.57,0.26,0.20,-0.686,25.708,0.961,25.983
ETWA,ETERINDO WAHANATAMA TBK,2020,27,-4.94,27.69,0,0.33,0.07,1.53,-0.27,0.00,0.394,-20.095,1.050,-18.651
ETWA,ETERINDO WAHANATAMA TBK,2021,28,-10.18,27.68,0,0.50,-0.12,1.38,1.09,0.00,0.140,-2.445,1.409,-0.897
FIRE,ALFA ENERGI INVESTAMA TBK.. PT,2017,2,1.04,26.85,0,0.67,0.00,4.75,0.00,0.39,0.698,26.728,0.963,28.388
FIRE,ALFA ENERGI INVESTAMA TBK.. PT,2018,3,0.77,27.08,0,0.67,-0.01,20.25,-0.01,1.37,2.349,116.055,0.991,119.395
FIRE,ALFA ENERGI INVESTAMA TBK.. PT,2019,4,0.60,27.02,0,0.67,0.02,1.26,0.03,2.25,3.499,91.290,0.989,95.779
FIRE,ALFA ENERGI INVESTAMA TBK.. PT,2020,5,0.43,26.95,0,0.67,0.03,4.16,0.04,2.12,2.825,122.914,0.992,126.731
FIRE,ALFA ENERGI INVESTAMA TBK.. PT,2021,6,0.61,26.93,0,0.67,-0.09,1.75,-0.15,1.70,2.574,84.040,0.988,87.602
FIRE,ALFA ENERGI INVESTAMA TBK.. PT,2022,7,0.70,26.62,0,0.67,-0.26,1.07,-0.44,0.69,1.211,26.042,0.962,28.215
GEMS,GOLDEN ENERGY MINES TBK.. PT,2012,15,0.19,28.84,1,0.67,0.05,4.22,0.06,1.15,1.397,28.382,0.965,30.743
GEMS,GOLDEN ENERGY MINES TBK.. PT,2013,16,0.36,28.86,1,0.67,0.06,3.47,0.08,1.11,1.524,32.100,0.969,34.593
GEMS,GOLDEN ENERGY MINES TBK.. PT,2014,17,0.27,28.95,1,0.67,0.03,3.22,0.04,1.38,1.741,35.574,0.972,38.287
GEMS,GOLDEN ENERGY MINES TBK.. PT,2015,18,0.49,29.23,1,0.67,0.01,1.95,0.01,0.96,1.431,28.335,0.965,30.731
GEMS,GOLDEN ENERGY MINES TBK.. PT,2016,19,0.43,29.25,1,0.67,0.09,3.43,0.13,1.02,1.295,25.406,0.961,27.662
GEMS,GOLDEN ENERGY MINES TBK.. PT,2017,20,1.02,29.71,1,0.33,0.20,2.53,0.40,1.29,2.067,35.993,0.972,39.032
GEMS,GOLDEN ENERGY MINES TBK.. PT,2018,21,1.22,29.97,1,0.33,0.14,2.03,0.31,1.49,2.922,40.413,0.975,44.310
GEMS,GOLDEN ENERGY MINES TBK.. PT,2019,22,1.18,30.02,1,0.67,0.09,1.69,0.19,1.42,2.864,37.610,0.973,41.448
GEMS,GOLDEN ENERGY MINES TBK.. PT,2020,23,1.33,30.07,1,0.67,0.12,1.88,0.27,1.30,2.677,34.890,0.971,38.539
GEMS,GOLDEN ENERGY MINES TBK.. PT,2021,24,1.62,30.10,1,0.67,0.43,4.57,1.12,0.00,3.604,23.176,0.957,27.737
GEMS,GOLDEN ENERGY MINES TBK.. PT,2022,25,1.02,30.51,1,0.67,0.62,2.84,1.25,2.59,3.635,40.830,0.976,45.441
